Car Model Year,Car Model,Car Make,Country Code
1986,Chariot,Mitsubishi,SV
1968,Camaro,Chevrolet,SE
2003,Freelander,Land Rover,CN
2003,Q,Infiniti,BA
2004,Bravada,Oldsmobile,FR
1999,Neon,Dodge,BR
1990,100,Audi,MX
2008,Fit,Honda,MD
1996,Explorer,Ford,YE
1992,Continental Mark VII,Lincoln,PY
2011,Volt,Chevrolet,RU
1991,430,Maserati,CN
2005,S4,Audi,PT
2003,Aurora,Oldsmobile,IR
2006,RL,Acura,NO
2006,F-250 Super Duty,Ford,ID
1992,Dakota,Dodge,RU
1994,F250,Ford,ID
1998,Sable,Mercury,CN
1998,GTO,Mitsubishi,CN
1994,3000GT,Mitsubishi,BA
1999,Montero Sport,Mitsubishi,TH
2007,Murano,Nissan,TH
2009,B-Series,Mazda,CN
2003,Blazer,Chevrolet,RU
1985,RX-7,Mazda,CZ
2008,XC70,Volvo,RU
2004,SSR,Chevrolet,ID
2011,Tacoma,Toyota,AR
2003,Aztek,Pontiac,MK
